Date,Type,Amount,Currency,Order ID,anycoin TX ID,Description,Funding ID,Trade ID
2024-02-23T06:20:20.182Z,deposit,1,CZK,,00000000-0000-0000-0000-000000000001
2024-02-26T09:19:01.569Z,deposit,10000,CZK,,00000000-0000-0000-0000-000000000002
2024-12-08T22:28:46.803Z,deposit,200,CZK,,00000000-0000-0000-0000-000000000003
2024-12-09T08:24:36.516Z,deposit,1000,CZK,,00000000-0000-0000-0000-000000000004
2024-12-16T08:17:15.969Z,deposit,2500,CZK,,00000000-0000-0000-0000-000000000005
2024-12-23T08:22:53.643Z,deposit,2500,CZK,,00000000-0000-0000-0000-000000000006
2024-12-30T08:20:55.170Z,deposit,2500,CZK,,00000000-0000-0000-0000-000000000007
2024-02-23T06:20:20.182Z,deposit,1,CZK,,00000000-0000-0000-0000-000000000001,
2024-02-26T09:19:01.569Z,deposit,10000,CZK,,00000000-0000-0000-0000-000000000002,
2024-12-08T22:28:46.803Z,deposit,200,CZK,,00000000-0000-0000-0000-000000000003,
2025-04-12T03:54:52.478Z,withdrawal_block,-0.00402601,BTC,,00000000-0000-0000-0000-000000000008,
2025-04-12T07:38:09.971Z,withdrawal_unblock,0.00402601,BTC,,00000000-0000-0000-0000-000000000009,
2025-04-12T07:38:09.986Z,withdrawal,-0.00402601,BTC,,00000000-0000-0000-0000-000000000010,
2025-04-12T09:38:27.309Z,withdrawal_block,-0.1,BTC,,00000000-0000-0000-0000-000000000011,
2025-04-12T12:21:57.128Z,withdrawal_unblock,0.1,BTC,,00000000-0000-0000-0000-000000000012,
2025-04-12T12:21:57.144Z,withdrawal,-0.1,BTC,,00000000-0000-0000-0000-000000000013,
2026-01-25T04:38:45.772Z,withdrawal_block,-0.09600399,BTC,,00000000-0000-0000-0000-000000000014,,00000000-0000-0000-0000-000000000015,
2026-01-25T09:26:44.134Z,withdrawal_unblock,0.09600399,BTC,,00000000-0000-0000-0000-000000000016,,00000000-0000-0000-0000-000000000015,
2026-01-25T09:26:44.148Z,withdrawal,-0.09600399,BTC,,00000000-0000-0000-0000-000000000017,,00000000-0000-0000-0000-000000000015,
2024-08-07T20:08:05.215Z,trade payment,-10001,CZK,1668007,00000000-0000-0000-0000-000000000018,
2024-08-07T20:08:10.590Z,trade fill,0.00774711,BTC,1668007,00000000-0000-0000-0000-000000000019,
2024-12-08T22:28:50.850Z,trade payment,-200,CZK,1947694,00000000-0000-0000-0000-000000000020,
2024-12-08T22:28:56.178Z,trade fill,0.00008276,BTC,1947694,00000000-0000-0000-0000-000000000021,
2024-12-09T08:24:50.902Z,trade payment,-1000,CZK,1949459,00000000-0000-0000-0000-000000000022,
2024-12-09T08:24:57.081Z,trade fill,0.00041498,BTC,1949459,00000000-0000-0000-0000-000000000023,
2024-12-16T08:17:20.779Z,trade payment,-2500,CZK,1973332,00000000-0000-0000-0000-000000000024,
2024-12-16T08:17:26.143Z,trade fill,0.00098475,BTC,1973332,00000000-0000-0000-0000-000000000025,
2024-12-23T08:23:25.032Z,trade payment,-2500,CZK,2001364,00000000-0000-0000-0000-000000000026,
2024-12-23T08:23:29.757Z,trade fill,0.00106903,BTC,2001364,00000000-0000-0000-0000-000000000027,
2024-12-30T08:22:03.214Z,trade payment,-2500,CZK,2019056,00000000-0000-0000-0000-000000000028,
2024-12-30T08:22:08.224Z,trade fill,0.00108466,BTC,2019056,00000000-0000-0000-0000-000000000029,
2025-01-06T08:23:28.190Z,trade payment,-2500,CZK,2037502,00000000-0000-0000-0000-000000000030,
2025-01-06T08:23:36.556Z,trade fill,0.00101635,BTC,2037502,00000000-0000-0000-0000-000000000031,
2025-01-13T08:23:08.931Z,trade payment,-2500,CZK,2061399,00000000-0000-0000-0000-000000000032,
2025-01-13T08:23:14.744Z,trade fill,0.00107555,BTC,2061399,00000000-0000-0000-0000-000000000033,
2025-01-15T02:47:48.228Z,trade payment,-50000,CZK,2068869,00000000-0000-0000-0000-000000000034,
2025-01-15T02:47:54.879Z,trade fill,0.02064412,BTC,2068869,00000000-0000-0000-0000-000000000035,
2025-01-27T08:22:50.061Z,trade payment,-2500,CZK,2112673,00000000-0000-0000-0000-000000000036,
2025-01-27T08:22:55.743Z,trade fill,0.00103232,BTC,2112673,00000000-0000-0000-0000-000000000037,
2025-02-03T08:31:49.551Z,trade payment,-2500,CZK,2138393,00000000-0000-0000-0000-000000000038,
2025-02-03T08:31:55.185Z,trade fill,0.00104518,BTC,2138393,00000000-0000-0000-0000-000000000039,
2025-02-10T02:57:04.252Z,trade payment,-25000,CZK,2158654,00000000-0000-0000-0000-000000000040,
2025-02-10T02:57:21.681Z,trade fill,0.01052241,BTC,2158654,00000000-0000-0000-0000-000000000041,
2025-02-10T08:26:22.212Z,trade payment,-2500,CZK,2160067,00000000-0000-0000-0000-000000000042,
2025-02-10T08:26:29.703Z,trade fill,0.00103356,BTC,2160067,00000000-0000-0000-0000-000000000043,
2025-02-17T08:16:46.738Z,trade payment,-2500,CZK,2178611,00000000-0000-0000-0000-000000000044,
2025-02-17T08:16:53.438Z,trade fill,0.00106751,BTC,2178611,00000000-0000-0000-0000-000000000045,
2025-02-24T08:21:37.438Z,trade payment,-2500,CZK,2197694,00000000-0000-0000-0000-000000000046,
2025-02-24T08:21:40.500Z,trade fill,0.00107238,BTC,2197694,00000000-0000-0000-0000-000000000047,
