Symbol,Type,Quantity,Price,Value,Fees,Date
BTC,Buy,0.001986,503524.67 CZK,1000.00 CZK,0.00 CZK,"26 Jun 2022, 16:02:36"
DOT,Stake,2.0575029,122.02 CZK,251.05 CZK,0.00 CZK,"12 Mar 2023, 15:22:18"
DOT,Stake,0.1639681,122.04 CZK,20.01 CZK,0.00 CZK,"12 Mar 2023, 15:39:48"
SUI,Sell,0.33491802,69.99 CZK,23.43 CZK,0.35 CZK,"10 Nov 2024, 17:57:36"
ROSE,Sell,2.94882479,1.92 CZK,5.66 CZK,0.08 CZK,"10 Nov 2024, 17:58:12"
BONK,Sell,7337.8403,0.00 CZK,4.48 CZK,0.07 CZK,"10 Nov 2024, 17:58:27"
1INCH,Sell,2.29666821,6.78 CZK,15.57 CZK,0.23 CZK,"10 Nov 2024, 17:58:41"
DOT,Unstake,2.73209961,249.74 CZK,682.31 CZK,0.00 CZK,"8 Dec 2024, 17:08:38"
DOT,Sell,2.73209961,241.47 CZK,659.73 CZK,29.99 CZK,"8 Dec 2024, 19:44:37"
BTC,Buy,0.00041495,2409896.99 CZK,1000.00 CZK,29.97 CZK,"8 Dec 2024, 22:01:22"
DOT,Unstake,0.00063607,227.58 CZK,0.14 CZK,0.00 CZK,"9 Dec 2024, 16:59:27"
DOT,Sell,0.00129379,201.37 CZK,0.26 CZK,0.00 CZK,"10 Dec 2024, 07:46:35"
DOT,Learn reward,0.1666458,,,,"3 Sept 2022, 21:27:40"
DOT,Learn reward,0.1661736,,,,"3 Sept 2022, 21:33:26"
DOT,Learn reward,0.1663584,,,,"3 Sept 2022, 21:37:37"
DOT,Learn reward,0.1664391,,,,"3 Sept 2022, 21:41:29"
DOT,Learn reward,0.2774585,,,,"3 Sept 2022, 21:43:45"
DOT,Staking reward,0.00055576,,,,"14 Mar 2023, 05:08:47"
DOT,Staking reward,0.00024212,,,,"14 Mar 2023, 06:57:00"
DOT,Staking reward,0.00024223,,,,"14 Mar 2023, 20:25:46"
DOT,Staking reward,0.00036784,,,,"14 Mar 2023, 23:50:23"
DOT,Staking reward,0.00039948,,,,"15 Mar 2023, 22:06:04"
DOT,Staking reward,0.00075893,,,,"16 Mar 2023, 08:27:59"
DOT,Staking reward,0.00053061,,,,"16 Mar 2023, 18:31:36"
DOT,Staking reward,0.00047608,,,,"20 Mar 2023, 09:28:47"
DOT,Staking reward,0.00058368,,,,"20 Mar 2023, 10:33:13"
DOT,Staking reward,0.00052151,,,,"20 Mar 2023, 14:19:35"
DOT,Staking reward,0.00010926,,,,"20 Mar 2023, 15:34:59"
DOT,Staking reward,0.00098932,,,,"20 Mar 2023, 18:45:03"
DOT,Staking reward,0.00027229,,,,"20 Mar 2023, 21:21:19"
DOT,Staking reward,0.00060467,,,,"21 Mar 2023, 00:14:43"
DOT,Staking reward,0.00066847,,,,"21 Mar 2023, 02:47:19"
DOT,Staking reward,0.00022589,,,,"21 Mar 2023, 05:30:28"
DOT,Staking reward,0.00011371,,,,"21 Mar 2023, 08:03:10"
DOT,Staking reward,0.00013403,,,,"21 Mar 2023, 19:32:30"
USD,Other,,,$24.00,0.00 CZK,"21 Jan 2026, 14:54:35"
USD,Other,,,$216.85,0.00 CZK,"21 Jan 2026, 18:00:11"
USD,Other,,,$24.27,0.00 CZK,"23 Jan 2026, 22:47:07"
USD,Other,,,$243.94,0.00 CZK,"26 Jan 2026, 00:08:43"
USD,Other,,,$244.16,0.00 CZK,"27 Jan 2026, 06:39:04"
BTC,Buy - Revolut X,0.00027044,$88744.27,$24.00,$0.02,"21 Jan 2026, 14:54:35"
BTC,Buy - Revolut X,0.00247263,$87700.14,$216.85,$0.00,"21 Jan 2026, 18:11:03"
BTC,Buy - Revolut X,0.00027423,$88502.35,$24.27,$0.00,"25 Jan 2026, 09:35:38"
BTC,Buy - Revolut X,0.00215924,$85150.33,$183.86,$0.00,"29 Jan 2026, 16:32:22"
BTC,Buy - Revolut X,0.00162522,$84850.05,$137.90,$0.00,"29 Jan 2026, 16:40:14"
BTC,Buy,0.00010000,1000000.00 CZK,100.00 CZK,0.00 CZK,"1 Jan 2021, 12:00:00"
ETH,Sell,0.05000000,100000.00 CZK,5000.00 CZK,5.00 CZK,"15 Jan 2026, 12:00:00"
