Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee),Record Date,Total (CCY)
Deposit,2022-05-16 15:51:42,,,,"Transaction ID: DL7FTQTMNDTG2C52",00000000-0000-0000-0000-000000000001,,,,,,,1.00,"EUR",,,,,,,,,,,,,,,
Deposit,2022-05-16 15:54:11,,,,"Free Shares Promotion",00000000-0000-0000-0000-000000000002,,,,,,,69.25,"EUR",,,,,,,,,,,,,,,
Market buy,2022-05-16 15:54:11,US02079K3059,GOOGL,"Alphabet (Class A)",,EOF000000000000017,0.0313646200,2296.6500000000,USD,1.04185065,,"EUR",69.24,"EUR",,,,,,,,,,,,,0.10,"EUR",,
Deposit,2022-05-24 06:41:48,,,,"Bank Transfer",00000000-0000-0000-0000-000000000003,,,,,,,40.42,"EUR",,,,,,,,,,,,,,,
Interest on cash,2023-06-12 21:13:11,,,,"Interest on cash",00000000-0000-0000-0000-000000000004,,,,,,,0.01,"EUR",,
Interest on cash,2023-06-19 21:11:08,,,,"Interest on cash",00000000-0000-0000-0000-000000000005,,,,,,,0.01,"EUR",,
Interest on cash,2023-06-26 21:11:02,,,,"Interest on cash",00000000-0000-0000-0000-000000000006,,,,,,,0.01,"EUR",,
Interest on cash,2023-07-03 21:12:07,,,,"Interest on cash",00000000-0000-0000-0000-000000000007,,,,,,,0.01,"EUR",,
Currency conversion,2024-04-24 22:47:09,,,,"10000.00 CZK -> 395.50 EUR",O7K4BWR2XSAY7LJ6,,,,,,,-0.59,"EUR",,,,,,,,,10000.00,"CZK",395.50,"EUR",-0.59,"EUR",,
Market buy,2024-04-24 23:25:20,US02209S1033,MO,"Altria",,EOF000000000000018,1.0143800000,42.9200000000,USD,1.06970981,,"EUR",40.76,"EUR",,,,,,,,,,,,,0.06,"EUR",,
Market buy,2024-04-25 07:00:35,GB0007188757,RIO,"Rio Tinto",,EOF000000000000019,0.2447117400,5517.0000000000,GBX,85.77348599,,"EUR",15.84,"EUR",,,,,,,0.08,"EUR",,,,,0.02,"EUR",,
Market buy,2024-04-25 07:00:35,GB00BDR05C01,NG,"National Grid",,EOF000000000000020,1.5948185200,1058.0000000000,GBX,85.78129100,,"EUR",19.80,"EUR",,,,,,,0.10,"EUR",,,,,0.03,"EUR",,
Market buy,2024-04-25 07:00:39,GB0005603997,LGEN,"Legal & General",,EOF000000000000021,5.7498922000,234.8000000000,GBX,85.77348720,,"EUR",15.84,"EUR",,,,,,,0.08,"EUR",,,,,0.02,"EUR",,
Market buy,2024-04-25 07:56:40,GG00BJVDZ946,SMIF,"TwentyFour Select Monthly Income Fund",,EOF000000000000022,20.4213360000,83.0000000000,GBX,85.73449104,,"EUR",19.80,"EUR",,,,,,,,,,,,,0.03,"EUR",,
Market buy,2024-04-25 13:30:02,CA2553311002,DIV,"Diversified Royalty",,EOF000000000000023,10.4302500000,2.7800000000,CAD,1.46667147,,"EUR",19.80,"EUR",,,,,,,,,,,,,0.03,"EUR",,
