ID,Type,Time,Comment,Symbol,Amount
1033425296,deposit,2025-12-01 09:27:17,Deposit,,50000
1033852338,DIVIDENT,2025-12-01 11:59:12,PFE.US USD 0.4300/ SHR,PFE.US,88.86
1033852339,Withholding Tax,2025-12-01 11:59:12,PFE.US USD WHT 15%,PFE.US,-13.33
1036077264,Stock purchase,2025-12-02 20:26:53,OPEN BUY 20 @ 28.28,VICI.US,-11820.47
1036077094,Stock purchase,2025-12-02 20:26:05,OPEN BUY 8 @ 57.27,O.US,-9576
1036079783,Stock purchase,2025-12-02 20:40:50,OPEN BUY 3 @ 96.42,BNTX.US,-6045.82
1036080705,Stock purchase,2025-12-02 20:46:08,OPEN BUY 10 @ 24.36,MRNA.US,-5091
1036081197,Stock purchase,2025-12-02 20:48:20,OPEN BUY 9 @ 25.22,PFE.US,-4743.66
1036421025,Stock purchase,2025-12-03 09:01:34,OPEN BUY 1 @ 106.92,NOVN.CH,-2792.94
1036422471,Stock purchase,2025-12-03 09:04:45,OPEN BUY 5 @ 40.900,NOV.DE,-4963.01
1036470882,Stock purchase,2025-12-03 09:06:42,OPEN BUY 4 @ 725.00,CZG.CZ,-2900
1036472011,Stock purchase,2025-12-03 09:09:10,OPEN BUY 2 @ 1170.00,KOMB.CZ,-2340
1038873719,Free-funds Interest,2025-12-04 13:50:48,Free-funds Interest 2025-11,,0.82
1047497183,Withholding Tax,2025-12-11 12:23:07,corr CZG.CZ CZK WHT 35%,CZG.CZ,5.25
1047497182,DIVIDENT,2025-12-11 12:23:07,corr CZG.CZ CZK 15.0000/ SHR,CZG.CZ,-15
1047497190,Withholding Tax,2025-12-11 12:23:07,corr CZG.CZ CZK WHT 35%,CZG.CZ,120.75
1047497192,DIVIDENT,2025-12-11 12:23:07,corr CZG.CZ CZK 15.0000/ SHR,CZG.CZ,-45
1047497193,Withholding Tax,2025-12-11 12:23:08,corr CZG.CZ CZK WHT 35%,CZG.CZ,15.75
1047497189,DIVIDENT,2025-12-11 12:23:07,corr CZG.CZ CZK 15.0000/ SHR,CZG.CZ,-345
1051436340,DIVIDENT,2025-12-15 07:53:26,O.US USD 0.2695/ SHR,O.US,27.72
1051436341,Withholding Tax,2025-12-15 07:53:26,O.US USD WHT 15%,O.US,-4.16
1051453294,DIVIDENT,2025-12-15 07:53:27,O.US USD 0.2695/ SHR,O.US,22.18
1051453295,Withholding Tax,2025-12-15 07:53:27,O.US USD WHT 15%,O.US,-3.33
1052139776,DIVIDENT,2025-12-15 11:58:04,ABEA.DE USD 0.2100/ SHR,ABEA.DE,4.32
1052139777,Withholding Tax,2025-12-15 11:58:04,ABEA.DE USD WHT 15%,ABEA.DE,-0.65
1068547849,close trade,2025-12-30 15:31:46,Profit of position #2087960758,PFE.US,-6.39
1068547850,Stock sale,2025-12-30 15:31:46,CLOSE BUY 1 @ 25.00,PFE.US,518.74
Total,,,,,98.63
,,,,,
