"legal_name","doing_business_as_name","license_description","application_type","license_status","zip_code","city","state","application_created_date","license_start_date","expiration_date"
"DIYA 31ST HALSTED, LLC","Dunkin'","Retail Food Establishment","RENEW","AAI","60608","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"AVADA, INC.","SUPER SAVINGS FOOD","Retail Food Establishment","RENEW","AAI","60641","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"REDPEG MARKETING, INC.","REDPEG MARKETING, INC.","Pop-Up Retail User","ISSUE","AAI","22314","ALEXANDRIA","VA","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2026-06-07T00:00:00.000"
"FLAVIN ELECTRIC, LLC","FLAVIN ELECTRIC, LLC","Limited Business License","ISSUE","AAI","60618","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2027-05-15T00:00:00.000"
"HELLMUTH, OBATA & KASSABAUM, INC.","HELLMUTH, OBATA & KASSABAUM, INC.","Limited Business License","C_LOC","AAI","60601","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2028-04-15T00:00:00.000"
"RAVEN ZBIKOWSKI","LA BONNE FEE","Limited Business License","ISSUE","AAC","60614","CHICAGO","IL","2026-04-15T00:00:00.000","2026-04-16T00:00:00.000","2028-05-15T00:00:00.000"
"VICTORIA'S SECRET STORES, LLC","VICTORIA'S SECRET STORES, LLC #282","Limited Business License","RENEW","AAC","60652","CHICAGO","IL",,"2025-02-16T00:00:00.000","2027-02-15T00:00:00.000"
"PURE BEAUTY CORP","PURE BEAUTY","Limited Business License","ISSUE","REV","60616","CHICAGO","IL","2026-04-15T00:00:00.000","2026-04-15T00:00:00.000","2027-05-15T00:00:00.000"
"BABA'S MINI MARKET, INC.","BABA'S MINI MARKET, INC.","Retail Food Establishment","RENEW","REV","60621","CHICAGO","IL",,"2025-11-16T00:00:00.000","2027-11-15T00:00:00.000"
"CLUB 215, LLC","Lite","Public Place of Amusement","RENEW","REA","60654","CHICAGO","IL",,"2023-05-16T00:00:00.000","2025-05-15T00:00:00.000"
