stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
101,Van Cortlandt Park-242 St,40.889248,-73.898583,1,
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
103,238 St,40.884667,-73.900870,1,
103N,238 St,40.884667,-73.900870,,103
103S,238 St,40.884667,-73.900870,,103
104,231 St,40.878856,-73.904834,1,
104N,231 St,40.878856,-73.904834,,104
104S,231 St,40.878856,-73.904834,,104
106,Marble Hill-225 St,40.874561,-73.909831,1,
106N,Marble Hill-225 St,40.874561,-73.909831,,106
106S,Marble Hill-225 St,40.874561,-73.909831,,106
107,215 St,40.869444,-73.915279,1,
107N,215 St,40.869444,-73.915279,,107
107S,215 St,40.869444,-73.915279,,107
