tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000001	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt0000502	movie	Bohemios	Bohemios	0	1905	\N	100	\N
tt0035423	movie	Kate & Leopold	Kate & Leopold	0	2001	\N	118	Comedy,Fantasy,Romance
tt0035803	tvSeries	The German Weekly Review	Die Deutsche Wochenschau	0	1940	1945	\N	Documentary,News
tt0039120	tvSeries	Americana	Americana	0	1947	1949	30	Family,Game-Show
tt0062727	short	Of Special Merit	Besonders wertvoll	1	1968	\N	11	Adult,Short
tt0064057	movie	Bacchanales 69	Bacchanales 69	1	1969	\N	95	Adult
tt0073045	movie	"Giliap"	"Giliap"	0	1975	\N	137	Crime,Drama
tt0167609	tvSeries	L'homme du "Picardie"	L'homme du "Picardie"	0	1968	\N	13	Drama
