VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,02/09/2018 01:25:25 PM,02/09/2018 01:31:11 PM,2,1.08,1,N,233,229,1,6,0,0.5,1,0,0.3,7.8
2,02/09/2018 01:25:00 PM,02/09/2018 02:05:03 PM,1,13.85,2,N,215,230,2,52,0,0.5,0,0,0.3,52.8
1,02/09/2018 01:24:18 PM,02/09/2018 02:14:34 PM,1,18,2,N,132,48,1,52,0,0.5,15.8,0,0.3,68.6
1,02/09/2018 01:44:11 PM,02/09/2018 01:44:14 PM,1,0,1,N,90,90,3,2.5,0,0.5,0,0,0.3,3.3
1,02/09/2018 01:55:36 PM,02/09/2018 02:01:32 PM,1,0.5,1,Y,263,236,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/09/2018 01:16:19 PM,02/09/2018 01:20:10 PM,1,0.4,1,N,142,50,4,4.5,0,0.5,0,0,0.3,5.3
1,02/09/2018 01:16:18 PM,02/09/2018 02:03:06 PM,2,21.2,2,Y,88,132,1,52,0,0.5,5,5.76,0.3,63.56
1,02/09/2018 01:45:16 PM,02/09/2018 01:53:13 PM,0,0.6,1,N,164,186,1,6.5,0,0.5,1.45,0,0.3,8.75
2,02/09/2018 01:04:43 PM,02/09/2018 01:07:53 PM,6,0.15,1,N,163,163,3,-4,0,-0.5,0,0,-0.3,-4.8
1,02/09/2018 01:15:14 PM,02/09/2018 01:26:52 PM,0,1.6,1,N,161,236,2,9,0,0.5,0,0,0.3,9.8
