"legal_name","doing_business_as_name","license_description","application_type","license_status","zip_code","city","state","application_created_date","license_start_date","expiration_date"
"DIYA 31ST HALSTED, LLC","Dunkin'","Retail Food Establishment","RENEW","AAI","60608","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"AVADA, INC.","SUPER SAVINGS FOOD","Retail Food Establishment","RENEW","AAI","60641","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"AV MAXX CORP.","AV MAXX CORP.","Limited Business License","RENEW","AAI","60641","CHICAGO","IL",,"2025-01-16T00:00:00.000","2027-01-15T00:00:00.000"
"ST. BRUNO PARISH","ST. BRUNO PARISH","Raffles","RENEW","AAI","60632","CHICAGO","IL",,"2026-06-16T00:00:00.000","2027-06-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60613","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"PCG CONSULTING, INC.","ADRIAN ISAI MONTANO","Regulated Business License","RENEW","AAI","60068","PARK RIDGE","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"HOSPITALITY PARKING SERVICES INC.","HOSPITALITY PARKING SERVICES","Valet Parking Operator","RENEW","AAI","60601","CHICAGO","IL",,"2026-07-01T00:00:00.000","2027-06-30T00:00:00.000"
"CHICAGO STEEL FABRICATORS CORP.","CHICAGO STEEL FABRICATORS CORP.","Manufacturing Establishments","RENEW","AAI","60639","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"MUI'S FEIDA BAKERY CORP","FEIDA BAKERY","Retail Food Establishment","RENEW","AAI","60616","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"REDPEG MARKETING, INC.","REDPEG MARKETING, INC.","Pop-Up Retail User","ISSUE","AAI","22314","ALEXANDRIA","VA","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2026-06-07T00:00:00.000"
"MI YAMA L.L.C","PB&J PIZZA BEER & JUKEBOX","Public Place of Amusement","RENEW","AAI","60607","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"FLAVIN ELECTRIC, LLC","FLAVIN ELECTRIC, LLC","Limited Business License","ISSUE","AAI","60618","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2027-05-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"Rescue 8 Education & Training Division INC","Rescue 8 Education & Training Division INC","Limited Business License","RENEW","AAI","60621","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"KCBX TERMINALS COMPANY","KCBX Terminals Co.","Limited Business License","RENEW","AAI","60617","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"SHARKS 2018 INC.","SHARKS FISH & CHICKEN","Retail Food Establishment","ISSUE","AAI","60636","CHICAGO","IL","2026-05-08T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"THIRD RAIL TAVERN, INC.","THIRD RAIL TAVERN","Tavern","RENEW","AAI","60607","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"PRIME NOW LLC","Amazon Now","Retail Food Establishment","ISSUE","AAI","60630","CHICAGO","IL","2026-05-12T00:00:00.000","2026-05-29T00:00:00.000","2027-04-15T00:00:00.000"
"ALFRED MILLER & CLARICE MILLS","M & M HAIR CONNECTION","Limited Business License","RENEW","AAI","60620","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"DERRICK SMITH","DERRICK SMITH","Pharmaceutical Representative","RENEW","AAI","60612","CHICAGO","IL",,"2026-06-16T00:00:00.000","2027-06-15T00:00:00.000"
