Province/State,Country/Region,1/22/20,12/31/20,12/31/21
,Afghanistan,0,52330,158084
,Austria,0,356063,1270811
,Belgium,0,646496,2105343
,Brazil,0,7681032,22291839
,Chile,0,608973,1806494
,Egypt,0,138062,385575
,France,0,2616902,9761814
,Germany,0,1719737,7109182
,Greece,0,138850,1210853
,India,0,10286709,34861579
,Italy,0,2107166,6125683
,Japan,2,235749,1733307
,Kenya,0,96458,295028
,"Korea, South",1,61769,635253
,Mexico,0,1426094,3979723
,Nigeria,0,87607,241513
,Norway,0,49567,394259
,Peru,0,1015137,2296831
,Poland,0,1294878,4108215
,Portugal,0,413678,1389646
,Spain,0,1928265,6294745
,Sweden,0,437379,1314784
,Vietnam,0,1465,1731257
