freq,unit,age,sex,geo\TIME_PERIOD	2021 	2022 	2023 
A,NR,TOTAL,T,AD	: 	: 	: 
A,NR,TOTAL,T,AL	2829741 	2793592 	2761785 
A,NR,TOTAL,T,AM	2963251 	: 	2977130 
A,NR,TOTAL,T,AT	8932664 	8978929 	9104772 
A,NR,TOTAL,T,AZ	10119133 	10156366 	10127145 
A,NR,TOTAL,T,BA	: 	: 	: 
A,NR,TOTAL,T,BE	11554767 	11617623 	11742796 
A,NR,TOTAL,T,BG	6532117 	6482484 	6447710 
A,NR,TOTAL,T,BY	: 	: 	: 
A,NR,TOTAL,T,CH	8670300 	8738791 	8815385 
A,NR,TOTAL,T,CY	914476 	929764 	949084 
A,NR,TOTAL,T,CZ	10494836 b	10516707 	10827529 
A,NR,TOTAL,T,DE	83155031 	83237124 	83118501 b
A,NR,TOTAL,T,DE_TOT	83155031 	83237124 	83118501 b
A,NR,TOTAL,T,DK	5840045 	5873420 	5932654 
A,NR,TOTAL,T,EA20	346718238 	347104468 	348557873 bp
A,NR,TOTAL,T,EA21	: 	: 	: 
A,NR,TOTAL,T,EE	1330068 	1331796 	1365884 
A,NR,TOTAL,T,EEA30_2007	: 	: 	: 
A,NR,TOTAL,T,EEA31	: 	: 	: 
A,NR,TOTAL,T,EFTA	14469516 	14579617 	14731804 
A,NR,TOTAL,T,EL	10555344 	10461627 	10401868 
A,NR,TOTAL,T,ES	47400798 	47486843 	48085361 
A,NR,TOTAL,T,EU27_2007	: 	: 	: 
A,NR,TOTAL,T,EU27_2020	445891011 bep	445972024 ep	447695350 bep
A,NR,TOTAL,T,EU28	: 	: 	: 
A,NR,TOTAL,T,FI	5533793 	5548241 	5563970 
A,NR,TOTAL,T,FR	67728568 	68091703 	68277210 p
A,NR,TOTAL,T,FX	: 	: 	: 
A,NR,TOTAL,T,GE	3728573 	3688647 	3736357 
A,NR,TOTAL,T,HR	3893026 	3862305 	3850894 
A,NR,TOTAL,T,HU	9651461 	9610403 	9599744 
A,NR,TOTAL,T,IE	5066893 	5154277 	5271395 
A,NR,TOTAL,T,IS	368792 	376248 	387758 
A,NR,TOTAL,T,IT	59236213 	59030133 	58997201 
A,NR,TOTAL,T,LI	39055 	39308 	39677 
A,NR,TOTAL,T,LT	2810761 	2805998 	2857279 
A,NR,TOTAL,T,LU	634730 	645397 	660809 
A,NR,TOTAL,T,LV	1893223 	1875757 	1895239 
A,NR,TOTAL,T,MC	: 	: 	: 
A,NR,TOTAL,T,MD	2643675 e	2565030 e	2512758 ep
A,NR,TOTAL,T,ME	620739 	617683 	616695 
A,NR,TOTAL,T,MK	2068808 	1837114 b	1829954 
A,NR,TOTAL,T,MT	516125 	520174 	542051 
A,NR,TOTAL,T,NL	17475415 	17590672 	17811291 
A,NR,TOTAL,T,NO	5391369 	5425270 	5488984 
A,NR,TOTAL,T,PL	37073357 bep	36889761 ep	36753736 ep
A,NR,TOTAL,T,PT	10394297 	10421117 	10516621 
A,NR,TOTAL,T,RO	19201662 	19043098 e	19055228 e
A,NR,TOTAL,T,RS	6871547 	6797105 	6641197 b
A,NR,TOTAL,T,RU	: 	: 	: 
A,NR,TOTAL,T,SE	10379295 	10452326 	10521556 
A,NR,TOTAL,T,SI	2108977 	2107180 	2116972 
A,NR,TOTAL,T,SK	5459781 	5434712 	5428792 
A,NR,TOTAL,T,SM	: 	: 	: 
A,NR,TOTAL,T,TR	83614362 	84680273 	85279553 
A,NR,TOTAL,T,UA	41418717 	40997698 	: 
A,NR,TOTAL,T,UK	: 	: 	: 
A,NR,TOTAL,T,XK	1798186 	1773971 	: 
