stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
101,Van Cortlandt Park-242 St,40.889248,-73.898583,1,
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,,101
103,238 St,40.884667,-73.900870,1,
103N,238 St,40.884667,-73.900870,,103
103S,238 St,40.884667,-73.900870,,103
104,231 St,40.878856,-73.904834,1,
104N,231 St,40.878856,-73.904834,,104
104S,231 St,40.878856,-73.904834,,104
106,Marble Hill-225 St,40.874561,-73.909831,1,
106N,Marble Hill-225 St,40.874561,-73.909831,,106
106S,Marble Hill-225 St,40.874561,-73.909831,,106
107,215 St,40.869444,-73.915279,1,
107N,215 St,40.869444,-73.915279,,107
107S,215 St,40.869444,-73.915279,,107
108,207 St,40.864621,-73.918822,1,
108N,207 St,40.864621,-73.918822,,108
108S,207 St,40.864621,-73.918822,,108
109,Dyckman St,40.860531,-73.925536,1,
109N,Dyckman St,40.860531,-73.925536,,109
109S,Dyckman St,40.860531,-73.925536,,109
110,191 St,40.855225,-73.929412,1,
110N,191 St,40.855225,-73.929412,,110
110S,191 St,40.855225,-73.929412,,110
111,181 St,40.849505,-73.933596,1,
111N,181 St,40.849505,-73.933596,,111
111S,181 St,40.849505,-73.933596,,111
112,168 St-Washington Hts,40.840556,-73.940133,1,
112N,168 St-Washington Hts,40.840556,-73.940133,,112
112S,168 St-Washington Hts,40.840556,-73.940133,,112
113,157 St,40.834041,-73.944890,1,
113N,157 St,40.834041,-73.944890,,113
113S,157 St,40.834041,-73.944890,,113
114,145 St,40.826551,-73.950360,1,
114N,145 St,40.826551,-73.950360,,114
114S,145 St,40.826551,-73.950360,,114
115,137 St-City College,40.822008,-73.953676,1,
115N,137 St-City College,40.822008,-73.953676,,115
115S,137 St-City College,40.822008,-73.953676,,115
116,125 St,40.815581,-73.958372,1,
116N,125 St,40.815581,-73.958372,,116
116S,125 St,40.815581,-73.958372,,116
117,116 St-Columbia University,40.807722,-73.964110,1,
117N,116 St-Columbia University,40.807722,-73.964110,,117
117S,116 St-Columbia University,40.807722,-73.964110,,117
118,Cathedral Pkwy (110 St),40.803967,-73.966847,1,
118N,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,,118
119,103 St,40.799446,-73.968379,1,
119N,103 St,40.799446,-73.968379,,119
119S,103 St,40.799446,-73.968379,,119
120,96 St,40.793919,-73.972323,1,
120N,96 St,40.793919,-73.972323,,120
120S,96 St,40.793919,-73.972323,,120
121,86 St,40.788644,-73.976218,1,
121N,86 St,40.788644,-73.976218,,121
121S,86 St,40.788644,-73.976218,,121
122,79 St,40.783934,-73.979917,1,
122N,79 St,40.783934,-73.979917,,122
122S,79 St,40.783934,-73.979917,,122
