VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,02/09/2018 01:25:25 PM,02/09/2018 01:31:11 PM,2,1.08,1,N,233,229,1,6,0,0.5,1,0,0.3,7.8
2,02/09/2018 01:25:00 PM,02/09/2018 02:05:03 PM,1,13.85,2,N,215,230,2,52,0,0.5,0,0,0.3,52.8
1,02/09/2018 01:17:24 PM,02/09/2018 01:22:47 PM,1,0.7,1,N,249,158,2,5.5,0,0.5,0,0,0.3,6.3
1,02/09/2018 01:32:49 PM,02/09/2018 01:45:41 PM,1,2.1,1,N,90,142,1,10.5,0,0.5,2.25,0,0.3,13.55
1,02/09/2018 01:51:03 PM,02/09/2018 02:04:05 PM,1,1.7,1,N,263,233,1,10,0,0.5,1.62,0,0.3,12.42
1,02/09/2018 01:22:37 PM,02/09/2018 01:38:34 PM,1,2.4,1,N,211,246,1,13,0,0.5,3.45,0,0.3,17.25
1,02/09/2018 01:46:21 PM,02/09/2018 01:53:31 PM,1,0.6,1,N,186,48,1,6,0,0.5,1.02,0,0.3,7.82
1,02/09/2018 01:57:08 PM,02/09/2018 02:04:23 PM,1,0.8,1,N,48,50,2,6.5,0,0.5,0,0,0.3,7.3
2,02/09/2018 01:12:08 PM,02/09/2018 01:41:53 PM,1,6.98,1,N,142,148,1,26.5,0,0.5,5.46,0,0.3,32.76
2,02/09/2018 01:09:41 PM,02/09/2018 01:29:27 PM,6,1.5,1,N,48,234,2,12.5,0,0.5,0,0,0.3,13.3
2,02/09/2018 01:36:45 PM,02/09/2018 01:43:54 PM,6,1.23,1,N,234,79,1,6.5,0,0.5,1.46,0,0.3,8.76
2,02/09/2018 01:53:20 PM,02/09/2018 01:59:53 PM,6,0.91,1,N,231,87,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 01:27:26 PM,02/09/2018 01:35:24 PM,1,0.81,1,N,162,229,1,7,0,0.5,1.56,0,0.3,9.36
2,02/09/2018 01:40:13 PM,02/09/2018 01:53:48 PM,1,1.74,1,N,229,50,1,10.5,0,0.5,2.26,0,0.3,13.56
1,02/09/2018 01:03:04 PM,02/09/2018 01:15:42 PM,1,1.8,1,N,43,236,2,10.5,0,0.5,0,0,0.3,11.3
1,02/09/2018 01:19:05 PM,02/09/2018 01:28:14 PM,1,0.8,1,N,236,236,1,7,0,0.5,1.55,0,0.3,9.35
1,02/09/2018 01:52:03 PM,02/09/2018 02:03:48 PM,1,2.8,1,N,262,233,2,12,0,0.5,0,0,0.3,12.8
1,02/09/2018 01:18:50 PM,02/09/2018 01:30:00 PM,1,1,1,N,170,161,1,8.5,0,0.5,1.85,0,0.3,11.15
1,02/09/2018 01:39:55 PM,02/09/2018 01:49:25 PM,1,1.2,1,N,163,230,1,7.5,0,0.5,1.65,0,0.3,9.95
1,02/09/2018 01:53:02 PM,02/09/2018 02:10:17 PM,1,1.5,1,N,161,141,2,11.5,0,0.5,0,0,0.3,12.3
1,02/09/2018 01:24:18 PM,02/09/2018 02:14:34 PM,1,18,2,N,132,48,1,52,0,0.5,15.8,0,0.3,68.6
2,02/09/2018 01:40:12 PM,02/09/2018 01:53:09 PM,2,1.49,1,N,246,161,2,9.5,0,0.5,0,0,0.3,10.3
2,02/09/2018 01:53:46 PM,02/09/2018 02:11:19 PM,2,1.13,1,N,161,186,2,11.5,0,0.5,0,0,0.3,12.3
1,02/09/2018 01:52:36 PM,02/09/2018 02:36:37 PM,1,8.1,1,N,45,236,1,33,0,0.5,8.45,0,0.3,42.25
1,02/09/2018 01:36:52 PM,02/09/2018 01:56:05 PM,1,1.8,1,N,231,234,1,13,0.5,0.5,2.15,0,0.3,16.45
1,02/09/2018 01:18:21 PM,02/09/2018 01:23:18 PM,1,0.3,1,N,237,237,1,5,0,0.5,1,0,0.3,6.8
1,02/09/2018 01:26:43 PM,02/09/2018 01:41:51 PM,1,2.2,1,N,237,238,2,11.5,0,0.5,0,0,0.3,12.3
2,02/09/2018 01:58:38 PM,02/09/2018 02:20:48 PM,1,1.95,1,N,234,125,1,14.5,0,0.5,3.06,0,0.3,18.36
1,02/09/2018 01:43:37 PM,02/09/2018 02:08:40 PM,2,5.1,1,N,79,141,1,21,0,0.5,4.35,0,0.3,26.15
1,02/09/2018 01:57:26 PM,02/09/2018 02:24:54 PM,1,9.4,1,N,138,141,2,28.5,0,0.5,0,5.76,0.3,35.06
2,02/09/2018 01:06:51 PM,02/09/2018 01:12:46 PM,2,0.84,1,N,137,107,1,6,0,0.5,1.36,0,0.3,8.16
2,02/09/2018 01:18:40 PM,02/09/2018 01:36:40 PM,2,0.68,1,N,170,100,1,11.5,0,0.5,2.46,0,0.3,14.76
2,02/09/2018 01:40:30 PM,02/09/2018 01:51:05 PM,3,1.33,1,N,186,161,2,8.5,0,0.5,0,0,0.3,9.3
2,02/09/2018 01:56:10 PM,02/09/2018 02:08:32 PM,3,2.1,1,N,162,236,1,10.5,0,0.5,2.26,0,0.3,13.56
2,02/09/2018 01:10:59 PM,02/09/2018 01:18:18 PM,1,2.87,1,N,137,232,2,10,0,0.5,0,0,0.3,10.8
2,02/09/2018 01:31:53 PM,02/09/2018 01:37:25 PM,1,0.76,1,N,79,113,1,5.5,0,0.5,2.7,0,0.3,9
2,02/09/2018 01:08:30 PM,02/09/2018 01:18:18 PM,1,1.2,1,N,113,249,1,8,0,0.5,2.2,0,0.3,11
2,02/09/2018 01:36:55 PM,02/09/2018 01:48:26 PM,1,0.96,1,N,113,158,1,8.5,0,0.5,1.86,0,0.3,11.16
2,02/09/2018 01:52:06 PM,02/09/2018 02:04:51 PM,1,1.76,1,N,158,231,1,10,0,0.5,2.7,0,0.3,13.5
2,02/09/2018 01:41:21 PM,02/09/2018 01:50:57 PM,6,0.9,1,N,161,162,1,7.5,0,0.5,2.08,0,0.3,10.38
2,02/09/2018 01:55:14 PM,02/09/2018 02:03:36 PM,5,0.78,1,N,162,170,1,7,0,0.5,0,0,0.3,7.8
2,02/09/2018 01:20:35 PM,02/09/2018 01:27:31 PM,1,0.65,1,N,237,163,1,6,0,0.5,1.36,0,0.3,8.16
2,02/09/2018 01:33:55 PM,02/09/2018 01:42:09 PM,1,0.8,1,N,161,162,2,6.5,0,0.5,0,0,0.3,7.3
2,02/09/2018 01:43:34 PM,02/09/2018 01:50:34 PM,1,1.08,1,N,162,141,1,6.5,0,0.5,1.46,0,0.3,8.76
1,02/09/2018 01:17:34 PM,02/09/2018 01:40:03 PM,1,2.2,1,N,113,88,1,14.5,0,0.5,2,0,0.3,17.3
1,02/09/2018 01:41:31 PM,02/09/2018 02:00:01 PM,1,5.1,1,N,88,170,1,18.5,0,0.5,2,0,0.3,21.3
2,02/09/2018 01:10:47 PM,02/09/2018 01:10:53 PM,1,0.03,5,N,1,1,1,90,0,0.5,18,0,0.3,108.8
2,02/09/2018 01:32:44 PM,02/09/2018 01:52:59 PM,4,4.17,1,N,231,142,1,17,0,0.5,5,0,0.3,22.8
2,02/09/2018 01:56:03 PM,02/09/2018 02:15:04 PM,4,2.95,1,N,163,79,1,14,0,0.5,2.96,0,0.3,17.76
2,02/09/2018 01:52:08 PM,02/09/2018 02:06:37 PM,1,1.71,1,N,45,65,1,10,0,0.5,1.08,0,0.3,11.88
2,02/09/2018 01:50:55 PM,02/09/2018 02:07:50 PM,1,2.54,1,N,142,236,1,13,0,0.5,3.45,0,0.3,17.25
1,02/09/2018 01:43:27 PM,02/09/2018 01:48:46 PM,1,0.2,1,N,236,236,2,5,0,0.5,0,0,0.3,5.8
2,02/09/2018 01:08:24 PM,02/09/2018 01:29:14 PM,6,6.1,1,N,231,137,1,21.5,0,0.5,3.34,0,0.3,25.64
2,02/09/2018 01:31:53 PM,02/09/2018 01:43:38 PM,6,1.73,1,N,233,163,1,9.5,0,0.5,0,0,0.3,10.3
2,02/09/2018 01:44:26 PM,02/09/2018 01:57:28 PM,6,1.5,1,N,163,50,1,9.5,0,0.5,2.06,0,0.3,12.36
2,02/09/2018 01:49:07 PM,02/09/2018 02:37:06 PM,2,12.01,1,N,138,106,1,39.5,0,0.5,10.08,0,0.3,50.38
1,02/09/2018 01:23:15 PM,02/09/2018 01:52:55 PM,1,4.7,1,N,186,88,2,21.5,0,0.5,0,0,0.3,22.3
1,02/09/2018 01:54:18 PM,02/09/2018 02:20:46 PM,1,5.2,1,N,88,170,1,22.5,0,0.5,4.65,0,0.3,27.95
1,02/09/2018 01:38:47 PM,02/09/2018 01:46:37 PM,2,1.2,1,N,13,125,1,7,0,0.5,1.56,0,0.3,9.36
1,02/09/2018 01:56:19 PM,02/09/2018 02:30:46 PM,1,5.3,1,N,13,163,1,25,0,0.5,3,0,0.3,28.8
1,02/09/2018 01:37:52 PM,02/09/2018 01:44:26 PM,1,0.8,1,N,142,163,2,6,0,0.5,0,0,0.3,6.8
1,02/09/2018 01:53:27 PM,02/09/2018 02:05:35 PM,1,1.5,1,N,161,141,1,9.5,0,0.5,2.05,0,0.3,12.35
1,02/09/2018 01:04:10 PM,02/09/2018 01:16:40 PM,1,1.5,1,N,164,234,1,9.5,0,0.5,2.05,0,0.3,12.35
1,02/09/2018 01:17:54 PM,02/09/2018 01:34:34 PM,1,2.4,1,N,234,163,1,12.5,0,0.5,3.95,0,0.3,17.25
1,02/09/2018 01:20:16 PM,02/09/2018 01:34:34 PM,1,1.8,1,N,166,74,1,10.5,0,0.5,0,0,0.3,11.3
1,02/09/2018 01:51:31 PM,02/09/2018 02:08:13 PM,2,3.2,1,N,41,142,1,14,0,0.5,2.96,0,0.3,17.76
2,02/09/2018 01:18:19 PM,02/09/2018 01:23:20 PM,1,0.61,1,N,263,236,1,5,0,0.5,1.16,0,0.3,6.96
2,02/09/2018 01:24:35 PM,02/09/2018 01:31:15 PM,1,0.76,1,N,236,262,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 01:34:29 PM,02/09/2018 01:36:57 PM,1,0.27,1,N,262,262,2,3.5,0,0.5,0,0,0.3,4.3
2,02/09/2018 01:44:54 PM,02/09/2018 01:57:52 PM,1,1.91,1,N,140,238,1,10.5,0,0.5,1.13,0,0.3,12.43
1,02/09/2018 01:24:48 PM,02/09/2018 01:35:45 PM,1,1.8,1,N,151,239,2,9,0,0.5,0,0,0.3,9.8
1,02/09/2018 01:47:28 PM,02/09/2018 02:09:31 PM,1,3.3,1,N,142,166,1,16.5,0,0.5,2,0,0.3,19.3
