sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_bytes
S1,5000,16,20,3expr,off,0.11,26.5,1619188,0
S1,25000,16,20,3expr,off,0.56,125.4,8173236,0
S1,100000,16,20,3expr,off,2.44,488.4,32825367,0
S1,500000,16,20,3expr,off,11.09,2439.4,165905007,0
S1,2000000,16,20,3expr,off,44.14,10066.8,668952661,0
S2,5000,16,20,3expr,on,0.28,26.5,1619188,14490111
S2,25000,16,20,3expr,on,1.43,125.5,8173236,72661442
S2,100000,16,20,3expr,on,6.23,488.4,32825367,291008857
S2,500000,16,20,3expr,on,29.92,2439.4,165905007,1459931654
S3,100000,4,20,3expr,off,1.79,411.5,7625248,0
S3,100000,16,20,3expr,off,2.18,488.4,32825367,0
S3,100000,64,20,3expr,off,4.27,1029.0,133625952,0
S3,100000,256,20,3expr,off,12.77,1518.6,536826893,0
S3,100000,1024,20,3expr,off,ERR-1,0.0,0,0
S4,100000,4,20,3expr,on,3.60,411.5,7625248,106208509
S4,100000,16,20,3expr,on,6.39,488.2,32825367,291008857
S4,100000,64,20,3expr,on,17.88,1029.0,133625952,1035010317
S4,100000,256,20,3expr,on,66.45,1518.7,536826893,4042212758
S5,25000,16,10,3expr,off,0.63,113.2,5172989,0
S5,25000,16,100,3expr,off,0.71,191.8,32173346,0
S5,25000,16,1000,3expr,off,2.35,1089.8,302172882,0
S6,100000,16,20,passthrough,off,1.04,488.4,28556624,0
S6,100000,16,20,3expr,off,2.47,488.4,32825367,0
S6,100000,16,20,passthrough,on,4.47,488.4,28556624,246171412
S6,100000,16,20,3expr,on,6.19,488.4,32825367,291008857
