sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.03,4.0,1619188,0,0
S1,25000,16,20,3expr,off,0.06,16.5,8173236,0,0
S1,100000,16,20,3expr,off,0.24,23.9,32825367,0,0
S1,500000,16,20,3expr,off,1.03,24.0,165905007,0,0
S1,2000000,16,20,3expr,off,4.70,23.9,668952661,0,0
S2,5000,16,20,3expr,on,0.01,4.6,1619188,540,155296
S2,25000,16,20,3expr,on,0.07,17.5,8173236,786,775297
S2,100000,16,20,3expr,on,0.25,25.2,32825367,2147,3100298
S2,500000,16,20,3expr,on,1.08,25.2,165905007,9912,15500298
S3,100000,4,20,3expr,off,0.12,19.1,7625248,0,0
S3,100000,16,20,3expr,off,0.23,23.8,32825367,0,0
S3,100000,64,20,3expr,off,0.70,22.1,133625952,0,0
S3,100000,256,20,3expr,off,2.77,22.2,536826893,0,0
S3,100000,1024,20,3expr,off,12.91,24.2,2149632175,0,0
S4,100000,4,20,3expr,on,0.15,22.2,7625248,3627,3100195
S4,100000,16,20,3expr,on,0.24,25.1,32825367,2147,3100298
S4,100000,64,20,3expr,on,0.64,22.4,133625952,2102,3100730
S4,100000,256,20,3expr,on,2.59,22.4,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.06,10.8,5172989,0,0
S5,25000,16,100,3expr,off,0.15,21.5,32173346,0,0
S5,25000,16,1000,3expr,off,0.84,21.1,302172882,0,0
S6,100000,16,20,passthrough,off,0.21,22.2,28556624,0,0
S6,100000,16,20,3expr,off,0.27,23.9,32825367,0,0
S6,100000,16,20,passthrough,on,0.15,23.1,28556624,2147,3100304
S6,100000,16,20,3expr,on,0.24,25.0,32825367,2147,3100298
