sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.22,2.5,1619188,0,0
S1,25000,16,20,3expr,off,1.83,9.1,8173236,0,0
S1,100000,16,20,3expr,off,4.77,13.0,32825367,0,0
S1,500000,16,20,3expr,off,21.76,13.1,165905007,0,0
S1,2000000,16,20,3expr,off,61.54,13.1,668952661,0,0
S2,5000,16,20,3expr,on,0.48,2.5,1619188,0,0
S2,25000,16,20,3expr,on,2.17,9.1,8173236,0,0
S2,100000,16,20,3expr,on,8.74,13.1,32825367,0,0
S2,500000,16,20,3expr,on,34.20,13.1,165905007,0,0
S3,100000,4,20,3expr,off,2.42,9.2,7625248,0,0
S3,100000,16,20,3expr,off,5.36,13.0,32825367,0,0
S3,100000,64,20,3expr,off,10.54,11.4,133625952,0,0
S3,100000,256,20,3expr,off,28.50,11.2,536826893,0,0
S3,100000,1024,20,3expr,off,78.48,11.7,2149632175,0,0
S4,100000,4,20,3expr,on,5.51,9.1,7625248,0,0
S4,100000,16,20,3expr,on,9.17,13.0,32825367,0,0
S4,100000,64,20,3expr,on,22.29,11.4,133625952,0,0
S4,100000,256,20,3expr,on,57.64,11.2,536826893,0,0
S5,25000,16,10,3expr,off,1.01,6.2,5172989,0,0
S5,25000,16,100,3expr,off,1.55,11.4,32173346,0,0
S5,25000,16,1000,3expr,off,6.57,10.9,302172882,0,0
S6,100000,16,20,passthrough,off,2.05,13.0,28556624,0,0
S6,100000,16,20,3expr,off,4.60,13.0,32825367,0,0
S6,100000,16,20,passthrough,on,5.23,13.0,28556624,0,0
S6,100000,16,20,3expr,on,8.51,13.0,32825367,0,0
