sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.20,2.5,1619188,0,0
S1,25000,16,20,3expr,off,0.99,9.1,8173236,0,0
S1,100000,16,20,3expr,off,4.43,13.1,32825367,0,0
S1,500000,16,20,3expr,off,18.90,13.1,165905007,0,0
S1,2000000,16,20,3expr,off,57.16,12.0,668952661,0,0
S2,5000,16,20,3expr,on,0.26,2.5,1619188,0,0
S2,25000,16,20,3expr,on,1.36,9.1,8173236,0,0
S2,100000,16,20,3expr,on,4.79,13.1,32825367,0,0
S2,500000,16,20,3expr,on,19.31,13.0,165905007,0,0
S3,100000,4,20,3expr,off,2.90,9.2,7625248,0,0
S3,100000,16,20,3expr,off,4.01,13.1,32825367,0,0
S3,100000,64,20,3expr,off,10.02,11.4,133625952,0,0
S3,100000,256,20,3expr,off,27.00,11.2,536826893,0,0
S3,100000,1024,20,3expr,off,75.87,11.7,2149632175,0,0
S4,100000,4,20,3expr,on,2.92,9.2,7625248,0,0
S4,100000,16,20,3expr,on,4.45,13.1,32825367,0,0
S4,100000,64,20,3expr,on,11.43,11.4,133625952,0,0
S4,100000,256,20,3expr,on,28.01,11.2,536826893,0,0
S5,25000,16,10,3expr,off,0.94,6.2,5172989,0,0
S5,25000,16,100,3expr,off,1.78,11.4,32173346,0,0
S5,25000,16,1000,3expr,off,6.31,11.0,302172882,0,0
S6,100000,16,20,passthrough,off,1.66,13.0,28556624,0,0
S6,100000,16,20,3expr,off,3.83,13.1,32825367,0,0
S6,100000,16,20,passthrough,on,2.11,13.0,28556624,0,0
S6,100000,16,20,3expr,on,4.67,13.0,32825367,0,0
